Gamers:,,,,farley3k,troubleshot,Clusks,Tanglebones,Aaron D.,BlackSabre,cheeba,walterqchocobo,doubtingthomas396,Zoso1701,Maq,Mr GT Chris,TheGameguru,Infyrnos,Farscry,WizardM0de,b12n11w00t,Mantid,plavonica,Garrcia,cube,MilkmanDanimal,Jonman,muraii,pyxistyx,PandaEskimo,CptDomano,JohnKillo,conejote,Taylor Wayne,dejanzie,Higgledy,krev82,Stengah,Dryden,Demyx,Mex,scrub,Vrikk,Granath,Cobble,PurEvil,DSGamer,ChrisLTD,Nevin73,zeroKFE,Glycerine,carrotpanic,TempestBlayze,UpToIsomorphism,tboon,ClockworkHouse,Squee9,Tscott,Running Man,Hyetal,BadKen,iaintgotnopants,IHateDRM,AcidCat,SocialChameleon,Malor,Aristophan,Carlbear95,ThingumBob,Evo,Roo,kyrieee,Jake2034,billt721,TheHarpoMarxist,Bnice,MrDeVil909,Shadout,Jayhawker,chooka1,Latrine,EverythingsTentative,sometimesdee,mateofalcone,kuddles,philucifer,bombsfall,mrtomaytohead,cheeze_pavilion,Kosars,Duoae,Eleima,nel e nel,Vector,kergguz,Fastmav347,Luggage,Budo,Slumberland,schutter31,ccesarano,Deadmonkeys,tuffalobuffalo,Dyni,Alien Love Gardener,4dSwissCheese,Mermaidpirate,danopian,Fedaykin98,badchicken,Minarchist,Ego Man,MeatMan,shoptroll,garion333,cyrax,Le0hart85,Spikeout,OzymandiasAV,RnRClown,clever id,Gunner,Blind_Evil,RooksGambit,groovebeat,TrashiDawa,demonbox,jdzappa,Cathadan,Gravey
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Toad: Treasure Tracker,27,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,9,,,10,10,,,,,,,,,,,,,,,
Car Mechanic Simulator 2014,7,1,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Reborn,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child of Light,48,8,2,,,6,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1,,5,,,,,,,,,,
"Chronicles of Riddick: Escape from Butcher Bay, The",9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinders,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilization V,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilization: Beyond Earth,30,7,0,,,,9,,5,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Clash of Clans,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,
Clicker Heroes,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contrast,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, Serve, Delicious!",5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter-Strike: Global Offensive,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Craft the World,28,4,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creeper World 3: Arc Eternal,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
